Time,PR_Val,Temp_Val,Sys_Val,Resp_Val,SPO2
938,113,,,28,
939,112,,,27,
940,112,,,24,96
941,,,,27,
942,,,,18,
943,111,,,19,95
944,,,,20,
945,,,,18,
946,109,,,15,93
947,111,,,28,93
948,101,,,20,93
949,119,,,25,91
950,,,,17,92
951,107,,,16,92
952,108,,,19,92
953,105,,,13,93
954,106,,,14,93
955,110,,,14,94
956,105,,,23,95
957,108,,,23,94
958,107,,,22,92
959,109,,,20,93
960,,,,17,93
961,,,,14,93
962,106,,,23,93
963,109,,,23,92
964,107,,,25,93
965,105,,,19,93
966,105,,,26,93
967,105,,,15,92
968,105,,,26,93
969,107,,,22,
970,105,,,23,93
971,105,,,19,
972,105,,,25,
973,108,,,24,93
974,,,,29,
975,104,,,28,93
976,,,,28,
977,106,,,27,94
978,,,,24,93
979,,,,27,94
980,,,,25,94
981,106,,,21,93
982,105,,,26,93
983,107,,,23,93
984,103,,,24,
985,105,,,25,94
986,106,,,29,94
987,105,,,25,94
988,105,,,27,93
989,104,,,25,93
990,105,,,23,93
991,113,,,26,93
992,109,,,22,94
993,108,,,27,94
994,106,,,20,94
995,108,,,20,94
996,108,,,25,94
997,104,,,28,94
998,,,,28,95
999,,,,25,95
1000,105,,,24,95
1001,111,,,21,93
1002,103,,,25,94
1003,107,,,23,94
1004,105,,,24,94
1005,105,,,29,95
1006,105,,,25,95
1007,106,,,25,95
1008,107,,,28,95
1009,105,,,25,95
1010,106,,,26,94
1011,104,,,28,
1012,106,,,27,95
1013,113,,,25,93
1014,116,,,26,94
1015,112,,,18,94
1016,111,,,26,94
1017,115,,,25,
1018,112,,,22,92
1019,115,,,20,93
1020,109,,,26,93
1021,111,,,24,94
1022,110,,,27,94
1023,110,,,25,94
1024,110,,,29,95
1025,107,,,25,95
1026,105,,,27,95
1027,106,,,28,95
1028,107,,,24,95
1029,106,,,26,94
1030,,,,26,95
1031,108,,,26,95
